"state","total"
"California",2195708
"Texas",2095781
"Pennsylvania",1941447
"North Carolina",1909882
"Virginia",1776624
"New York",1336435
"Ohio",1322484
"Georgia",1299183
"New Jersey",1257279
"Maryland",1132870
"Illinois",1120326
"Massachusetts",1069489
"Florida",1055743
"Michigan",1006556
"Tennessee",975045
"Missouri",934010
"Indiana",849567
"South Carolina",688623
"Washington",686801
"Arizona",582640
"Connecticut",577033
"Kansas",534827
"Colorado",486631
"Oregon",466881
"Wisconsin",452914
"Alabama",431100
"Minnesota",413336
"Kentucky",399499
"Oklahoma",313048
"Arkansas",293409
"Iowa",273596
"New Hampshire",248851
"Louisiana",231343
"Utah",194571
"West Virginia",167000
"New Mexico",156851
"Nebraska",151459
"Delaware",142005
"Mississippi",136366
"Maine",134900
"Rhode Island",130587
"Nevada",90901
"District of Columbia",70055
"Vermont",59324
"Idaho",54716
"Hawaii",53166
"Montana",25244
"South Dakota",15062
"Wyoming",11078
"North Dakota",10920
"Alaska",8740
